record_ID,units_sold
212645,3.2057706039671015
212646,3.1483730045449554
212647,3.1189514073992375
212648,3.279070254858137
212649,3.3134840087334703
212653,3.3636130718453323
212654,3.6040865474917383
212657,2.8122461401760486
212658,2.693830514526775
212661,5.096178437927699
212662,4.617953089153885
212663,3.9589336239388304
212666,4.274121053431156
212667,4.433961931347366
212668,4.693590831597667
212671,3.8260064158417135
212672,4.886204043433717
212673,4.213942589518797
212674,5.650474332271975
212675,3.0997883201819696
212676,2.4452144477670417
212677,4.360509049925778
212678,3.931553101967675
212679,3.7833958587683294
212681,3.655804397683209
212682,4.28475158463911
212683,3.1146378361294222
212686,4.440582715293665
212687,4.459976847664642
212688,3.040781817855401
212689,1.965201488394987
212691,3.1282417046804833
212692,3.9733885963497864
212693,3.954045171939985
212694,3.700328486057882
212695,3.648035105783283
212696,3.422958928668512
212697,4.601814157857662
212698,3.5261061468554664
212699,4.962378285086247
212700,3.152572949078099
212701,2.898014784788128
212702,3.689715998277883
212703,3.701905667559564
212704,3.5505919623007482
212705,3.3860240527441494
212706,3.5667148722241797
212707,3.880955438372995
212709,2.3654385645308524
212710,2.6940296833467174
212711,3.608093527336756
212712,3.7684850182646605
212713,3.418229622991877
212716,3.3242574719801103
212717,3.557758129451179
212718,2.8728617995420427
212719,2.9375046667200673
212721,4.507297417750323
212722,3.333581264641818
212723,4.71926225570103
212724,2.673296294260306
212725,2.435800690692204
212727,3.5239389785314956
212728,3.8857611551251687
212729,3.694389796064153
212731,3.4717261934498547
212732,3.8055264855693864
212734,2.1092288802936787
212735,2.174385818533471
212736,2.7071213377168197
212737,5.381134623240581
212738,5.322013651224998
212739,4.218093306235174
212740,3.078514142416837
212742,4.5671889786519895
212743,4.725350675321357
212744,5.247695675918593
212748,5.333238848226142
212749,4.555851498791107
212750,5.822627073355061
212751,3.6250295055048016
212752,3.174043489242817
212754,4.819438674379437
212755,4.341280330451901
212756,4.582337924326383
212757,3.7651061998617017
212758,4.055152648984376
212759,4.631583895962204
212760,2.3124334280007113
212761,4.118196608518871
212763,2.7372402562484193
212764,4.479730542650597
212765,4.407142883674235
212767,3.7131911236617623
212768,3.8364044948436513
212769,4.218359057417969
212772,3.720149246301302
212773,4.1715469300670085
212774,3.437468886934662
212775,4.97587665378754
212776,2.644309896590515
212777,2.1875120286357377
212778,3.882475582063642
212779,3.31767060919257
212782,3.69891577780182
212783,3.9500534035938273
212787,5.180069176590053
212788,4.7361701020412985
212789,4.073104880219389
212790,3.007332472708007
212792,4.5148712294285005
212793,4.618083933495449
212794,4.87436163291822
212796,4.91625576410082
212797,5.010725916531534
212798,5.6220102115080905
212799,3.275282555177578
212800,2.678817913288233
212802,4.4976722405957
212803,4.079159756730791
212805,3.7396322214532756
212806,3.9903101640080174
212807,4.3433051588693745
212809,3.4522660901003253
212812,3.6676969883113926
212816,2.630114263971181
212817,3.3998920897482745
212818,3.4860058762036026
212819,2.996699480626881
212820,3.0094538223868437
212821,3.344712617613617
212822,4.364875504361302
212823,3.213528774556012
212824,4.730583140941978
212825,2.946986736995505
212826,2.435463616290175
212828,3.524507811337745
212829,3.793005485606775
212830,3.5309731054401805
212831,3.34512219977932
212832,3.641036607904538
212833,3.685798754962018
212834,3.408241155236526
212835,3.2304024495897266
212837,2.315913158951134
212838,3.0306292948570395
212839,3.061567976867613
212840,3.113938390124444
212843,4.077859594139077
212844,2.7733253449945314
212845,4.414343509512478
212846,2.479234740434261
212849,3.243419971019745
212850,3.1556205513121856
212853,3.3725324085936137
212856,3.6836115774642026
212857,3.1139694144941203
212860,2.9567541989095787
212861,3.8411801389314073
212862,3.9487868510331525
212863,2.7626600727606485
212866,4.925446587063403
212867,3.8549951539066853
212868,5.180781957233599
212869,3.5149592011549586
212870,3.380030156924945
212872,3.919888548955818
212873,4.172343984036196
212874,3.7587081859222615
212875,3.4198710068863
212876,3.717394334500347
212877,3.883628968739442
212879,3.008619874406457
212880,3.26051910083452
212881,3.479731911909093
212884,2.459836447615224
212885,3.413756243924405
212886,2.9023292758439387
212888,2.8102087593247376
212889,3.8666146282409564
212890,2.8045490519332392
212891,4.36316267269354
212892,2.6588786029963902
212893,3.072456051245936
212896,3.4795950162451774
212899,2.0008107198434715
212900,2.4474160931019995
212901,3.239243022337556
212902,3.0054718932132656
212903,2.605635706946065
212905,3.711056862475748
212906,2.5524862234745513
212907,3.9095161953203847
212910,2.619235749832708
212911,2.6967208603259842
212914,2.9070334835980995
212915,4.598682942077585
212916,4.335433251772011
212917,3.603180612942131
212919,3.7596728472818803
212920,4.085216523716171
212921,4.401875288603948
212924,4.420452613118917
212925,3.802909751124172
212926,5.274304138240507
212927,2.5664425389927277
212929,4.0924985632401745
212930,3.8106522430050025
212931,3.07050829098161
212932,4.100667714635183
212933,3.967341353827209
212934,4.1470390873179594
212935,2.542547322019258
212936,4.091208971031089
212937,4.061119694665673
212938,3.0202833383735608
212940,3.6591626773201584
212941,3.643283249047829
212942,3.721648487686721
212946,3.994278929850368
212947,3.734781169199511
212948,4.947081527118827
212949,3.705866952919464
212950,3.6436868760579695
212951,3.4670605358820716
212952,3.594251515052598
212954,3.956714543541669
212955,3.42892090852462
212956,3.365739932012907
212959,3.1808902533755754
212960,3.2502763039483673
212964,4.517076908202022
212965,3.272195986824198
212966,5.136778182993953
212967,3.1672342952525487
212968,2.8656071865372144
212969,3.509282893432064
212970,3.908879807916039
212971,3.4941322734238067
212973,3.3827921000354952
212974,3.602635235402078
212977,4.017737492976985
212978,3.967164759808309
212979,3.282485706866081
212981,3.1324522935630252
212982,3.790323409143451
212983,3.8422633417027816
212984,3.579633507324571
212985,3.741936646932201
212986,3.7779450004693977
212987,4.783043593958351
212988,3.5345990965810676
212989,5.281108373548742
212990,3.2720332712588305
212991,3.024994206667855
212993,3.884837997850149
212994,3.8473233661267545
212995,3.6941410143841598
212996,3.607171866656602
212997,3.7607979550691795
212998,4.191993457187904
212999,2.1103226117443508
213001,2.9027984207540887
213002,2.7627400170519216
213006,2.9293297326937857
213007,3.0600995533369173
213011,3.705900924805801
213012,2.6525708302322855
213013,4.158493509210342
213016,2.9689373368673655
213017,2.8232162432960175
213020,3.324253960805351
213021,5.079546321652307
